track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name_x,playlist_name_y,playlist_total_tracks,owner_id,owner_name,total_followers
1RTcvQFSS9hTJC1wSoWpXm,Tambay,1tXFYQZSAswt4JLB42lpye,Sponge Cola,2PNW14mi4SjSOTG3TZEAlf,216000,2011,42,0.672,0.877,1,-4.566,1,0.0369,0.000671,0.0,0.307,0.795,136.93,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
599lu64vezGr99lHOVYjbG,Lost Stars,6Ww3OMFzCaO33ulKh1LBFN,Hale,5rf19zCqH1ApwFoDHYXsAP,279351,2015-06-23,44,0.518,0.199,0,-12.298,1,0.0328,0.868,0.0,0.0857,0.22,137.913,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
6hwsbH158tXOZwzL8tIZfw,Posible,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,264626,2010-05-18,0,0.394,0.759,5,-7.359,1,0.0388,0.504,0.0088,0.0902,0.436,113.093,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
6bBXrN9cJaekvVMKFcZ9nw,Director's Cut,4GBFKKuwmZUnAJt6nBal7A,Kamikazee,1QMMXG50CdKyrCsZFMmymj,290080,2006,45,0.316,0.939,4,-3.501,1,0.103,0.0229,0.0,0.809,0.534,161.097,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
4zyYzvQHMgp9GBB5kRV4Yp,Bilog Na Naman Ang Buwan,5jjulx3unldBbDDqduPA7u,Tropical Depression,3Z9vtM56WGwiqIMq9WzDvg,210986,2002-01-06,0,0.804,0.566,7,-15.008,1,0.175,0.535,0.0,0.345,0.918,95.928,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
7GWk4Sat9MZA34TNFEDbzS,Kapayapaan,5jjulx3unldBbDDqduPA7u,Tropical Depression,3Z9vtM56WGwiqIMq9WzDvg,286000,2002-01-06,0,0.739,0.426,9,-16.403,1,0.0774,0.0753,1.28e-05,0.0988,0.731,95.993,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
64juMW0Kj0MLIn5pbuNvKD,Set You Free,31oMMIBDMM2Z1RQO7u8irE,Side A,1ybbXhOGoaqW8qn3QqCcSz,273493,1994-09-23,52,0.582,0.417,2,-13.882,1,0.0321,0.123,0.0,0.325,0.277,119.888,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
2jVLIBFe4AVgGW01WKFIoA,Bilango,3mFZCPFWmwWvAMdDLm8Y1G,Rizal Underground,0bKT3oJGl0BW2PMzuzZhCl,259013,2010,39,0.581,0.891,7,-5.217,1,0.0371,3.71e-05,0.000918,0.268,0.824,136.19,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
3Qa2JS1RJGQFyIu1qmALjw,Fallin',4qFxP3qN9GsnZDOkAE6x2m,December Avenue,2xDMXQrLcUxzsAdpdlLPZh,250813,2017-03-20,46,0.312,0.785,6,-3.379,0,0.0317,0.0378,0.0,0.35,0.438,83.564,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
5ZeGnRg4HruE3jXBjTB3rU,Underneath the Waves,6Ww3OMFzCaO33ulKh1LBFN,Hale,472GgeFZaCdRLcL3cT0IAn,281979,2005,31,0.515,0.504,7,-8.97,1,0.0329,0.58,0.00841,0.0768,0.279,149.975,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
2wUj2wmmpqy4q4XzHUSxi3,The Boston Drama,7vbAIeiw0afuAqTiReJItY,Typecast,5BsnHCivBB0J5qyI8VsRuR,309226,2006,0,0.278,0.79,2,-7.37,1,0.077,0.000245,0.0116,0.146,0.172,159.118,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
40lLGZfNIOeYxzvRiYUvlm,Reverend's Daughter,7vbAIeiw0afuAqTiReJItY,Typecast,0fhUzH2zS999kQX5ybM5aG,288946,2011,0,0.282,0.936,11,-3.275,0,0.093,7.08e-05,0.0,0.362,0.397,160.436,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
0rkML0CSX3wteVwUh5cspv,'Di Na Muli,5cYJYBMg1n71v7cvthr1SO,The Itchyworms,3GX88wDTaudQN9oK5j4kf1,260599,2018-06-04,0,0.517,0.468,4,-6.582,1,0.0345,0.702,0.0,0.152,0.266,121.284,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
