track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,streams,position
5wZvVKUYvXjvUarvPCyqhk,Lumalapit,1YlibpAvhJBbMZMBwN1KGv,The Juans,1kWhEWBbzI4tRdTtdTz5QD,226947,2018-06-22,0,0.545,0.612,2,-9.119,1,0.0274,0.0174,0.0148,0.129,0.5529999999999999,92.039,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,439660.0,87.0
2JMqpiOu2PPQEeHnlSNnCH,Stars,6VUeOvTWAawdS5ouyxVUkd,BRWN,5NNJGDSklFHS0g0tHuwaks,308035,2020-03-13,36,0.524,0.594,5,-7.81,1,0.0382,0.705,2.0600000000000003e-05,0.132,0.20800000000000002,147.885,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,,
7nixLKx5skJBEKyiqZmdp7,I Mean Love,5KaNWaFGm1LSNLO7eEOsNW,Ethan Loukas,6SuSDQwWy2ALHnqmlybDyZ,193876,2019-03-29,25,0.748,0.428,6,-7.019,1,0.0314,0.542,0.0,0.0994,0.565,115.06700000000001,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,,
4wq7AxLexxAVWhBvFUWTMM,Balita,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,6EvPly3QxO6Q1g4QgcHEQM,275031,2019-09-23,47,0.48200000000000004,0.8909999999999999,2,-3.43,1,0.054000000000000006,0.007109999999999999,0.0,0.0847,0.474,160.97299999999998,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,,
7fbtWpqpaHXUh9MVJJ7cG4,Reason Enough,06MWYdzn0keVd0o6cI7QLH,Shawntel,6EY1Giai2E0kVnG7o2si1x,231278,2019-11-15,38,0.516,0.545,5,-6.595,1,0.0291,0.282,0.0,0.163,0.276,140.054,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,,
3yRd7Y9OVbhouw4E4TNI0t,Ikaw,3Hvxz2oZPYuo61ChHKcqQI,Autotelic,62KRgC3AZA7sxDb4fYipTI,229838,2020-03-06,43,0.563,0.6,5,-3.637,1,0.0351,0.00809,1.23e-05,0.12,0.145,124.10799999999999,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,,
59s7IA7HGGUFh32lGDOlBe,Destination (feat. Asch),2nZ18B9RTjJH56v2NTnNAI,Leanne & Naara,1FUB7upgH1rq9hie9PcRza,227866,2019-10-18,35,0.58,0.522,2,-11.128,0,0.0986,0.4,2.03e-06,0.14,0.642,176.077,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,,
5CBp1DpEIdw76H1Ol5SXUK,Taguan,2U5mF0PZqGu6glnz55yY0y,John Roa,5Uq0TiaLMYB3JBPnrMFwAr,248026,2018-06-08,0,0.684,0.32799999999999996,4,-10.991,1,0.0402,0.596,3.0799999999999996e-05,0.301,0.32799999999999996,108.016,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,42547.0,195.0
5S4T2Pdr8qhetF3UhkwuMj,'Di Na Babalik,5HIZU0JzM0AgfItVOm4E08,This Band,7zJxOlHuAGpCC7ZtKHm0Rz,340262,2019-02-03,0,0.358,0.435,10,-7.265,1,0.0349,0.008190000000000001,0.000936,0.11199999999999999,0.14,76.132,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,5000899.0,28.0
32FQqB67FkHkFSeXnuSYV0,"All Tonight - From ""Exes Baggage""",6sEgMZsruguWlnwVdiz4IX,Midnight Meetings,7cRnknPIiD27rqmi4SnFQ4,189941,2018-10-05,43,0.498,0.392,3,-10.683,1,0.0423,0.539,4.54e-06,0.0937,0.16399999999999998,78.01,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,499258.0,147.0
